,Товар,Количество,Сумма,Процент_продаж,Процент_колво,Сумма_продаж,Сумма_колво
2882,2995.0,5,586450.0,0.11897381814769158,0.01060535358248844,39.87494828754915,85.83124761379803
2270,2355.0,5,225049.93,0.04565615047484137,0.01060535358248844,61.56856296922712,85.84185296738052
690,710.0,5,27245.0,0.005527225979084077,0.01060535358248844,93.58307790463525,85.85245832096301
4242,4421.0,5,72526.58,0.014713554676091747,0.01060535358248844,83.22854403146273,85.8630636745455
1117,1150.0,5,72600.0,0.014728449479959773,0.01060535358248844,83.19910456319674,85.87366902812799
3593,3725.0,5,35045.0,0.007109621377757442,0.01060535358248844,91.66094921292323,85.88427438171048
5038,5250.0,5,72925.11,0.014794404937403709,0.01060535358248844,83.16964766423682,85.89487973529297
990,1020.0,5,10889.0,0.002209064550789008,0.01060535358248844,98.23520005585205,85.90548508887547
11,12.0,5,18555.0,0.003764275207997983,0.01060535358248844,96.05217255340312,85.91609044245796
3563,3695.0,5,3925.0,0.0007962694794606351,0.01060535358248844,99.75107948220052,85.92669579604045
2490,2583.0,5,18530.0,0.0037592034278740305,0.01060535358248844,96.06345422111085,85.93730114962294
2934,3048.0,5,70805.0,0.014364295667059941,0.01060535358248844,83.59273638380536,85.94790650320543
2117,2194.0,5,131059.82,0.026588263604994784,0.01060535358248844,73.51931518913065,85.95851185678792
2301,2387.0,5,128625.0,0.026094308737738648,0.01060535358248844,73.88821210442916,85.96911721037041
3577,3709.0,5,12200.0,0.0024750287004891075,0.01060535358248844,97.85685255993972,85.9797225639529
1229,1266.0,5,128900.0,0.02615009831910213,0.01060535358248844,73.86211779569142,85.9903279175354
203,214.0,5,3870.0,0.0007851115631879384,0.01060535358248844,99.75740906379524,86.00093327111789
3068,3183.0,5,155750.0,0.03159719017222775,0.01060535358248844,69.84304685487963,86.01153862470038
1263,1301.0,5,79950.0,0.01621955283640198,0.01060535358248844,82.02539462700996,86.02214397828287
2015,2091.0,5,4809.0,0.0009756076246436163,0.01060535358248844,99.60796898332313,86.03274933186536
4724,4922.0,5,35899.41,0.0072829565639857125,0.01060535358248844,91.44524168749602,86.04335468544785
4257,4437.0,5,68395.0,0.013875376063110864,0.01060535358248844,84.26914438013227,86.05396003903034
1210,1247.0,5,68410.0,0.013878419131185236,0.01060535358248844,84.25526900406916,86.06456539261283
906,935.0,5,17545.0,0.0035593752909902784,0.01060535358248844,96.30787816965733,86.07517074619533
1450,1492.0,5,130150.0,0.026403687325299786,0.01060535358248844,73.65186208901638,86.08577609977782
3022,3137.0,5,26900.0,0.005457235413373525,0.01060535358248844,93.69834105629084,86.09638145336031
3656,3789.0,5,13214.0,0.002680740102316645,0.01060535358248844,97.60367761387144,86.1069868069428
3722,3856.0,5,6735.0,0.0013663375653929623,0.01060535358248844,99.2606921700025,86.11759216052529
1628,1686.0,5,221400.0,0.044915684777728566,0.01060535358248844,62.111826782410255,86.12819751410778
4769,4970.0,5,26960.0,0.005469407685671012,0.01060535358248844,93.6601028772243,86.13880286769027
2392,2483.0,5,223750.0,0.045392432109380154,0.01060535358248844,61.750642070743474,86.14940822127276
427,444.0,5,17825.0,0.003616179228378553,0.01060535358248844,96.22551641643282,86.16001357485526
1072,1103.0,5,4725.0,0.0009585664434271339,0.01060535358248844,99.62052275492154,86.17061892843775
4524,4718.0,5,76550.0,0.01552979073954436,0.01060535358248844,82.5175597198643,86.18122428202024
1893,1967.0,5,85204.34,0.01728550712346165,0.01060535358248844,81.05250001927732,86.19182963560273
2610,2708.0,5,83963.49,0.017033774388789363,0.01060535358248844,81.32748809927489,86.20243498918522
4873,5077.0,5,61210.0,0.012417746455486744,0.01060535358248844,85.77285203527514,86.21304034276771
1700,1761.0,5,55370.0,0.011232978618531304,0.01060535358248844,86.80973709807527,86.2236456963502
4431,4621.0,5,20880.0,0.004235950759525621,0.01060535358248844,95.38601392480108,86.2342510499327
80,83.0,5,55499.99,0.011259349846463809,0.01060535358248844,86.76474838980732,86.24485640351519
2921,3035.0,5,55525.0,0.011264423655299812,0.01060535358248844,86.75348903996085,86.25546175709768
3985,4146.0,5,91600.0,0.01858300237416412,0.01060535358248844,79.8930395637991,86.26606711068017
2008,2084.0,5,26028.5,0.00528043315825252,0.01060535358248844,93.98782185754307,86.27667246426266
485,502.0,5,16602.0,0.003368067744714768,0.01060535358248844,96.60922724882126,86.28727781784515
2548,2641.0,5,20749.989999999998,0.004209575474169015,0.01060535358248844,95.41976256207315,86.29788317142764
4643,4839.0,5,56465.0,0.01145512258796045,0.01060535358248844,86.5830814495458,86.30848852501013
1987,2062.0,5,31640.0,0.006418844924875031,0.01060535358248844,92.54083313066734,86.31909387859262
4931,5138.0,5,20670.0,0.004193347806484415,0.01060535358248844,95.43656638397982,86.32969923217512
3057,3172.0,5,89750.0,0.018207690644991593,0.01060535358248844,80.1868411890081,86.34030458575761
2787,2895.0,5,31594.0,0.006409512849446957,0.01060535358248844,92.54724264351678,86.3509099393401
2391,2482.0,5,57233.68,0.011611065625787658,0.01060535358248844,86.49092416771163,86.36151529292259
651,670.0,5,57444.99,0.01165393434010736,0.01060535358248844,86.44443136624398,86.37212064650508
1209,1246.0,5,57649.979999999996,0.011695520908411725,0.01060535358248844,86.43277743190387,86.38272600008757
1374,1414.0,5,138400.0,0.028077374766204307,0.01060535358248844,72.02116606907988,86.39333135367006
5092,5306.0,5,42320.0,0.00858550939382779,0.01060535358248844,89.73998729842972,86.40393670725256
2720,2825.0,5,57830.0,0.011732041782728287,0.01060535358248844,86.37420709899143,86.41454206083505
5021,5232.0,5,92474.57,0.01876042744388435,0.01060535358248844,79.79963918865657,86.42514741441754
2459,2551.0,5,52555.0,0.010661896176574185,0.01060535358248844,87.37919058569213,86.43575276800003
2539,2632.0,5,6150.0,0.0012476579104924602,0.01060535358248844,99.38185336171168,86.44635812158252
1302,1341.0,5,94099.98000000001,0.01909017632913533,0.01060535358248844,79.4406545360878,86.45696347516501
1171,1206.0,5,93750.0,0.019019175464824088,0.01060535358248844,79.45967371155263,86.4675688287475
1562,1617.0,5,53239.99,0.010800860923258451,0.01060535358248844,87.25010641122667,86.47817418233
1944,2019.0,5,31890.0,0.006469562726114562,0.01060535358248844,92.46997427619957,86.48877953591249
1871,1943.0,5,93350.0,0.018938026982840837,0.01060535358248844,79.59244895718051,86.49938488949498
1207,1244.0,5,53495.0,0.01085259510923482,0.01060535358248844,87.15268614924402,86.50999024307747
4456,4646.0,5,169620.0,0.034411013784996926,0.01060535358248844,68.05965253742646,86.52059559665996
2369,2457.0,5,151385.33000000002,0.03071172431008318,0.01060535358248844,70.30999048829813,86.53120095024245
2506,2599.0,5,54119.99,0.010979387583621597,0.01060535358248844,87.06533488219789,86.54180630382494
449,466.0,5,38375.0,0.007785182490267994,0.01060535358248844,90.78937987007872,86.55241165740743
709,729.0,5,38220.0,0.007753737453499485,0.01060535358248844,90.82041916443731,86.56301701098992
487,504.0,5,4575.0,0.0009281357626834154,0.01060535358248844,99.63653048790414,86.57362236457242
4482,4673.0,5,207275.0,0.042050129007695065,0.01060535358248844,63.72261702899849,86.5842277181549
4773,4974.0,5,26155.989999999998,0.005306297208172631,0.01060535358248844,93.91901332090819,86.5948330717374
4558,4752.0,5,271350.0,0.055049101465386836,0.01060535358248844,57.75185731519122,86.60543842531989
1346,1385.0,5,16810.0,0.003410264955346057,0.01060535358248844,96.54826938555902,86.61604377890238
3756,3894.0,5,37779.99,0.00766447209460586,0.01060535358248844,90.96682863921312,86.62664913248487
4494,4686.0,5,58386.5,0.011844939608287483,0.01060535358248844,86.26799489399164,86.63725448606736
3576,3708.0,5,20380.0,0.004134515157046559,0.01060535358248844,95.51975656176973,86.64785983964985
5118,5335.0,5,59840.0,0.012139812904694116,0.01060535358248844,85.94436202984663,86.65846519323235
2255,2339.0,5,250900.0,0.050900385323993214,0.01060535358248844,59.49070356266235,86.66907054681484
4052,4215.0,5,86330.0,0.017513871124034807,0.01060535358248844,80.75741470623178,86.67967590039733
1745,1808.0,5,58200.0,0.011807104128562793,0.01060535358248844,86.338959241486,86.69028125397982
3419,3542.0,5,59410.0,0.012052578286562123,0.01060535358248844,86.05322023122616,86.70088660756231
676,696.0,5,86765.0,0.017602120098191593,0.01060535358248844,80.68719083863552,86.7114919611448
2640,2738.0,5,26385.0,0.00535275674282009,0.01060535358248844,93.85503655964698,86.72209731472729
2802,2910.0,5,10380.0,0.002105803107465323,0.01060535358248844,98.37498612052339,86.73270266830978
4429,4619.0,4,40840.0,0.008285260010489768,0.008484282865990752,90.1619963232445,86.74118695117578
284,295.0,4,4505.0,0.0009139347783363467,0.008484282865990752,99.63928730470832,86.74967123404177
557,574.0,4,4870.0,0.0009879827681460618,0.008484282865990752,99.59817152135089,86.75815551690776
1127,1160.0,4,25720.0,0.0052178473915229385,0.008484282865990752,94.05612230121638,86.76663979977376
67,69.0,4,39095.979999999996,0.007931448571618701,0.008484282865990752,90.61649588563996,86.77512408263975
1137,1170.0,4,27365.0,0.005551570523679052,0.008484282865990752,93.54984516680865,86.78360836550574
996,1026.0,4,27125.0,0.005502881434489102,0.008484282865990752,93.6271849955078,86.79209264837174
3548,3678.0,4,26325.0,0.005340584470522603,0.008484282865990752,93.87107352839891,86.80057693123773
4355,4541.0,4,38400.0,0.007790254270391946,0.008484282865990752,90.78159468758845,86.80906121410372
524,541.0,4,5030.0,0.0010204421609393615,0.008484282865990752,99.567061627813,86.81754549696971
5024,5236.0,4,134590.0,0.027304435475313856,0.008484282865990752,72.7398483873831,86.82602977983571
3549,3679.0,4,4565.0,0.0009261070506338342,0.008484282865990752,99.63745659495477,86.8345140627017
3627,3760.0,4,25865.0,0.0052472637162418664,0.008484282865990752,94.03518011162848,86.8429983455677
5142,5360.0,4,27040.0,0.005485637382067662,0.008484282865990752,93.6436703096227,86.85148262843369
1586,1643.0,4,37363.0,0.007579876830850371,0.008484282865990752,91.06592066744635,86.85996691129968
4473,4663.0,4,132927.35,0.026967131666390233,0.008484282865990752,73.01108317359098,86.86845119416567
2932,3046.0,4,35550.0,0.007212071336261294,0.008484282865990752,91.52488993083247,86.87693547703167
5154,5373.0,4,24000.0,0.004868908918994966,0.008484282865990752,94.50230616277703,86.88541975989766
4255,4435.0,4,41790.0,0.008477987655199984,0.008484282865990752,89.90185315297086,86.89390404276365
2845,2957.0,4,151149.97,0.030663976543284233,0.008484282865990752,70.40203314790149,86.90238832562964
2031,2107.0,4,37240.0,0.007554923672640522,0.008484282865990752,91.09618783399887,86.91087260849564
2210,2290.0,4,11392.5,0.002311210202485423,0.008484282865990752,98.08398405708141,86.91935689136163
2790,2898.0,4,13817.0,0.0028030714389063937,0.008484282865990752,97.4500423719244,86.92784117422762
2765,2871.0,4,9835.0,0.0019952383007631456,0.008484282865990752,98.51821877829687,86.93632545709362
410,427.0,4,25410.0,0.0051549573179859205,0.008484282865990752,94.11308822720437,86.94480973995961
4753,4954.0,4,34965.0,0.007093391681360791,0.008484282865990752,91.68933773125649,86.9532940228256
2590,2688.0,4,14220.0,0.0028848285345045173,0.008484282865990752,97.32509441470536,86.9617783056916
3336,3455.0,4,28450.0,0.005771685781058617,0.008484282865990752,93.3122096620631,86.97026258855759
4998,5208.0,4,42270.0,0.008575365833579884,0.008484282865990752,89.76572556414534,86.97874687142358
2709,2814.0,4,13105.0,0.0026586271409762097,0.008484282865990752,97.63836412472408,86.98723115428957
3466,3591.0,4,10860.0,0.0022031812858452223,0.008484282865990752,98.24181264277766,86.99571543715557
4464,4654.0,4,171125.0,0.034716334948458896,0.008484282865990752,67.81798148824119,87.00419972002156
4776,4977.0,4,26427.5,0.005361378769030811,0.008484282865990752,93.8389701745703,87.01268400288755
1765,1828.0,4,28441.0,0.005769859940213993,0.008484282865990752,93.31797952200331,87.02116828575355
5168,5387.0,4,35240.0,0.007149181262724276,0.008484282865990752,91.61821828872596,87.02965256861954
3909,4059.0,4,38950.0,0.007901833433118914,0.008484282865990752,90.65607301465923,87.03813685148553
408,425.0,4,27515.0,0.005582001204422771,0.008484282865990752,93.50531950395117,87.04662113435153
4042,4205.0,4,273899.91000000003,0.05556640477962161,0.008484282865990752,57.586115600193246,87.05510541721752
1485,1528.0,4,27204.25,0.005518958977482034,0.008484282865990752,93.59412206087976,87.06358970008351
3774,3914.0,4,13500.0,0.0027387612669346685,0.008484282865990752,97.53866611817293,87.0720739829495
4439,4629.0,4,33160.0,0.006727209156411378,0.008484282865990752,92.14611974888986,87.0805582658155
811,835.0,4,13127.5,0.0026631917430877676,0.008484282865990752,97.6303862145891,87.08904254868149
4634,4830.0,4,27185.0,0.00551505370678659,0.008484282865990752,93.6051552113614,87.09752683154748
1185,1222.0,4,41774.99,0.008474942558413563,0.008484282865990752,89.91880486595724,87.10601111441348
1959,2034.0,4,38585.0,0.007827785443309199,0.008484282865990752,90.74258752521952,87.11449539727947
4037,4200.0,4,117349.95,0.023806925758275553,0.008484282865990752,75.73470547304761,87.12297968014546
4836,5039.0,4,12972.5,0.002631746706319258,0.008484282865990752,97.68593691510873,87.13146396301146
3790,3931.0,4,13210.0,0.0026799286174968126,0.008484282865990752,97.60903747110643,87.13994824587745
572,589.0,4,10575.0,0.002145362992432157,0.008484282865990752,98.31775716998949,87.14843252874344
2754,2859.0,4,13000.0,0.0026373256644556067,0.008484282865990752,97.67803254578556,87.15691681160943
637,656.0,4,14550.0,0.0029517760321406982,0.008484282865990752,97.20233603828666,87.16540109447543
820,844.0,4,24930.0,0.005057579139606022,0.008484282865990752,94.21521266060147,87.17388537734142
2264,2348.0,4,176684.16,0.0358441284362139,0.008484282865990752,67.22063463612714,87.18236966020741
5029,5241.0,4,38890.0,0.007889661160821427,0.008484282865990752,90.68763963214087,87.1908539430734
4871,5075.0,4,28149.989999999998,0.005710822390859129,0.008484282865990752,93.38122755772405,87.1993382259394
2529,2622.0,4,10310.0,0.002091602123118254,0.008484282865990752,98.38127918530118,87.20782250880539
1102,1134.0,4,124399.95999999999,0.025237169781942376,0.008484282865990752,74.63130513377084,87.21630679167139
2487,2580.0,4,33540.0,0.006804300214295465,0.008484282865990752,92.07858494317274,87.22479107453738
