Группа;Любимый предмет в школе;Нравиться учится по направлению ИСТ?;По вашему мнению, кто такой программист?;Какие ожидания от обучения?;Посоветуйте интересные фильмы;Какими языками программирования владеете?;Как Вы оцениваете свои знания английского языка?;Любимый вид спорта
ИСТ-21;Информатика;Да;Специалист, занимающийся созданием компьютерных программ;Будет трудно, но я справлюсь;Адвокат Дьявола (1997), Платформа (2019), ;Python, C++;Читаю;Плавание
ИСТ-21;незнаю;Да;Человек, который создает программы;хорошие;Интерстеллар, живая сталь, он снова здесь;Изучал(а), но забыл(а);Пользуюсь онлаин переводчиком;незнаю
ИСТ-21;Химия ;Да;Тот, кто разбирается в сфере IT;Получить профессию, связанную с IT;Звёздные войны (только оригинальные 6 частей);Никакими;Пользуюсь онлаин переводчиком;Не увлекаюсь 
ИСТ-21;Информатика;Решил(а) попробовать себя в программировании, а вдруг получится;Специалист который пишет код для автоматизации различных процессов.;Получить базовые знания и навыки. Интересные практики ;Таксист ;Python, Изучал(а), но забыл(а);Пользуюсь онлаин переводчиком;Подводное плавание
ИСТ-21;Английский язык;Да;это специалист, занимающийся разработкой алгоритмов и программ на основе математических моделей;Высокие;Остров проклятых;Python, Изучал(а), но забыл(а);Читаю;Футбол
ИСТ-11;Математика;Решил(а) попробовать себя в программировании, а вдруг получится;Человек;Обычные;Властелин колец;Python, Изучал(а), но забыл(а);Читаю;Бег
ИСТ-11;История;Да;Специалист работающий с программами, бд, и данными в целом;Жду что это повлияет на дальнейшую мою работу;Человеческая многоножка;Python;Читаю;Настольный теннис
ИСТ-11;Математика;Да;Программист — специалист, занимающийся программированием, то есть созданием компьютерных программ. ;Хорошие;Брат;Никакими;Читаю;Тенис
ИСТ-11;Информатика;Решил(а) попробовать себя в программировании, а вдруг получится;Человек, реализующий программу и сопровождающий её.;Полезные навыки и знания;Интерстеллар ;Изучал(а), но забыл(а);Читаю;Его нет
ИСТ-11;Химия ;Да;Человек,который хорошо разбирается в компьютерной техники, программировании ;Получить необходимые знания и навыки в области программирования , стать востребованным специалистом;"Все части фильма ""После"","" Мост в терабитию"", "" Спеши любить""";Никакими;Читаю;Джампинг
ИСТ-11;Труд;Да;Специалист, умеющий программировать на специальных языках программирования и разбирается в коде. ;Стать востребованым ИТ-специалистом после окончания игститута ;Призрак оперы (2005г);C++, Изучал(а), но забыл(а);Пользуюсь онлаин переводчиком;Настольный теннис 
